trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
49,"{'vwap_dev_threshold': 0.001600501283414698, 'stop_loss': 0.011331266016793465, 'take_profit': 0.026100390782639822, 'max_hold_minutes': 27, 'min_volume': 1488, 'trailing_stop': 0.00329299172798576, 'max_trades_per_day': 2}",4.841381492399282e-05,0.2222222222222222,9,-3.790139211857196e-05,-1.684424763003936e-05
50,"{'vwap_dev_threshold': 0.004813024715112268, 'stop_loss': 0.009786177164249036, 'take_profit': 0.020050633815490018, 'max_hold_minutes': 15, 'min_volume': 1800, 'trailing_stop': 0.004386519200395762, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,3.2153875128666116e-05,2.6794126062424173e-05
51,"{'vwap_dev_threshold': 0.004775014287634833, 'stop_loss': 0.009807646909833614, 'take_profit': 0.02061763805671457, 'max_hold_minutes': 16, 'min_volume': 1879, 'trailing_stop': 0.004135868970154971, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.5902953585751588e-05,2.1585174445956196e-05
52,"{'vwap_dev_threshold': 0.004795898446788429, 'stop_loss': 0.00954775675221803, 'take_profit': 0.02062112981921156, 'max_hold_minutes': 15, 'min_volume': 2142, 'trailing_stop': 0.004797563785337369, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.4166666666666667,12,2.3848337726386414e-05,1.9872954286949418e-05
53,"{'vwap_dev_threshold': 0.00479543330749497, 'stop_loss': 0.007489080529729511, 'take_profit': 0.020029129922496544, 'max_hold_minutes': 15, 'min_volume': 2322, 'trailing_stop': 0.004384610891997686, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.8350220228868268e-05,2.3624504718952568e-05
54,"{'vwap_dev_threshold': 0.004873216061754554, 'stop_loss': 0.007408384961491366, 'take_profit': 0.019650073565424968, 'max_hold_minutes': 15, 'min_volume': 2499, 'trailing_stop': 0.009935397507377134, 'max_trades_per_day': 3}",0.00011199793208012125,0.25,12,-8.391458681053682e-05,-4.195259427517134e-05
55,"{'vwap_dev_threshold': 0.00416692668791302, 'stop_loss': 0.009126163014668206, 'take_profit': 0.01775854083779708, 'max_hold_minutes': 17, 'min_volume': 2185, 'trailing_stop': 0.004838215512992051, 'max_trades_per_day': 3}",3.927717688988195e-05,0.3333333333333333,12,6.554391500071135e-06,4.369422708051188e-06
56,"{'vwap_dev_threshold': 0.004448895101575075, 'stop_loss': 0.006742821614046799, 'take_profit': 0.016078766631269007, 'max_hold_minutes': 19, 'min_volume': 1836, 'trailing_stop': 0.004416082210528078, 'max_trades_per_day': 4}",0.00011058403791001182,0.1875,16,-0.00010433232634792141,-3.9120295821746e-05
57,"{'vwap_dev_threshold': 0.0049856646405892786, 'stop_loss': 0.010027704122060447, 'take_profit': 0.02045258940226934, 'max_hold_minutes': 15, 'min_volume': 2789, 'trailing_stop': 0.0049442155354459975, 'max_trades_per_day': 3}",7.067155440512396e-05,0.4166666666666667,12,-3.1922327602164136e-05,-2.6600059668043553e-05
58,"{'vwap_dev_threshold': 0.002812997813713587, 'stop_loss': 0.008742642499330933, 'take_profit': 0.02328777268992267, 'max_hold_minutes': 21, 'min_volume': 2141, 'trailing_stop': 0.003934455402364115, 'max_trades_per_day': 3}",4.069016798981465e-05,0.3076923076923077,13,-1.4401345718893817e-05,-8.862005985056762e-06
59,"{'vwap_dev_threshold': 0.004646262310725998, 'stop_loss': 0.007994084218343371, 'take_profit': 0.017871654050533613, 'max_hold_minutes': 17, 'min_volume': 2379, 'trailing_stop': 0.004461070628510936, 'max_trades_per_day': 3}",2.9140466680944254e-05,0.4166666666666667,12,2.3891873587031448e-05,1.99093144722377e-05
60,"{'vwap_dev_threshold': 0.0037816897161548364, 'stop_loss': 0.007934063366614208, 'take_profit': 0.014154500054362383, 'max_hold_minutes': 17, 'min_volume': 3012, 'trailing_stop': 0.004419363493766428, 'max_trades_per_day': 3}",3.5124856859911236e-05,0.25,12,1.3200781887595551e-06,6.600159106010655e-07
61,"{'vwap_dev_threshold': 0.004621491293010069, 'stop_loss': 0.005004088756383196, 'take_profit': 0.01768432225126454, 'max_hold_minutes': 17, 'min_volume': 2354, 'trailing_stop': 0.004724956805027782, 'max_trades_per_day': 3}",2.9140466680944254e-05,0.4166666666666667,12,2.3891873587031448e-05,1.99093144722377e-05
62,"{'vwap_dev_threshold': 0.004431154065149206, 'stop_loss': 0.005330756305800837, 'take_profit': 0.017977369877893355, 'max_hold_minutes': 17, 'min_volume': 2601, 'trailing_stop': 0.004714146320070144, 'max_trades_per_day': 3}",2.9140466680944254e-05,0.3333333333333333,12,1.379716387884099e-05,9.197841215364458e-06
63,"{'vwap_dev_threshold': 0.004804466706913748, 'stop_loss': 0.0059547955324074624, 'take_profit': 0.016446249320244858, 'max_hold_minutes': 15, 'min_volume': 2340, 'trailing_stop': 0.004180283106946401, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.8350220228868268e-05,2.3624504718952568e-05
64,"{'vwap_dev_threshold': 0.004238756858432584, 'stop_loss': 0.005898218370430655, 'take_profit': 0.015527476198806612, 'max_hold_minutes': 19, 'min_volume': 2441, 'trailing_stop': 0.0041359367554160715, 'max_trades_per_day': 3}",3.0834239889954916e-05,0.25,12,5.610680290104543e-06,2.8052536445212662e-06
65,"{'vwap_dev_threshold': 0.004642035633301844, 'stop_loss': 0.006645020601127521, 'take_profit': 0.012884840471584337, 'max_hold_minutes': 22, 'min_volume': 2328, 'trailing_stop': 0.003901123429940912, 'max_trades_per_day': 3}",2.9140444644615878e-05,0.5,12,2.4648088243262227e-05,2.464736998701118e-05
66,"{'vwap_dev_threshold': 0.004836783897169183, 'stop_loss': 0.00677448772751483, 'take_profit': 0.01216536182827836, 'max_hold_minutes': 21, 'min_volume': 2736, 'trailing_stop': 0.0038397950454034553, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.5,12,3.0462828053373354e-05,3.0461952787233993e-05
67,"{'vwap_dev_threshold': 0.004841806281781381, 'stop_loss': 0.007074391915618574, 'take_profit': 0.011230072729997875, 'max_hold_minutes': 21, 'min_volume': 2651, 'trailing_stop': 0.0038268242351583294, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.5,12,3.646861705172082e-05,3.646756922564247e-05
68,"{'vwap_dev_threshold': 0.0024374802226356635, 'stop_loss': 0.006830250374890162, 'take_profit': 0.011316854975706033, 'max_hold_minutes': 22, 'min_volume': 3370, 'trailing_stop': 0.003786228358387269, 'max_trades_per_day': 4}",0.00011348067704006098,0.11764705882352941,17,-0.00011348711645929157,-2.6699820673995398e-05
69,"{'vwap_dev_threshold': 0.0048716396452183775, 'stop_loss': 0.006428300600935902, 'take_profit': 0.012589993651215634, 'max_hold_minutes': 19, 'min_volume': 3619, 'trailing_stop': 0.0032103666886078444, 'max_trades_per_day': 3}",8.520573509127224e-05,0.25,12,-5.983911029368516e-05,-2.991700582915269e-05
70,"{'vwap_dev_threshold': 0.004417386016679827, 'stop_loss': 0.0056966676090043035, 'take_profit': 0.010478839932060105, 'max_hold_minutes': 21, 'min_volume': 2664, 'trailing_stop': 0.003999606416550764, 'max_trades_per_day': 2}",5.704076190013439e-05,0.125,8,-5.704238878628753e-05,-1.4259783761242639e-05
71,"{'vwap_dev_threshold': 0.0047732308129952526, 'stop_loss': 0.007280283179884094, 'take_profit': 0.013101601257754484, 'max_hold_minutes': 20, 'min_volume': 2974, 'trailing_stop': 0.00423536080674257, 'max_trades_per_day': 3}",2.8732267989980757e-05,0.4166666666666667,12,2.5902953585751588e-05,2.1585174445956196e-05
72,"{'vwap_dev_threshold': 0.00454034397081258, 'stop_loss': 0.007192307567673454, 'take_profit': 0.010053713377292814, 'max_hold_minutes': 16, 'min_volume': 2704, 'trailing_stop': 0.0038859771096730836, 'max_trades_per_day': 3}",2.914029166970945e-05,0.4166666666666667,12,2.9897702049378144e-05,2.4914025684683478e-05
73,"{'vwap_dev_threshold': 0.004523316386254529, 'stop_loss': 0.007400716309092795, 'take_profit': 0.010757092138722982, 'max_hold_minutes': 23, 'min_volume': 2673, 'trailing_stop': 0.00384195208507567, 'max_trades_per_day': 3}",2.9140269633645766e-05,0.5,12,3.0653912163928774e-05,3.065301890066299e-05
74,"{'vwap_dev_threshold': 0.004554370967544919, 'stop_loss': 0.007549733723828689, 'take_profit': 0.010071714299363021, 'max_hold_minutes': 23, 'min_volume': 2870, 'trailing_stop': 0.003846453184031933, 'max_trades_per_day': 3}",2.9140269633645766e-05,0.5,12,3.0653912163928774e-05,3.065301890066299e-05
75,"{'vwap_dev_threshold': 0.004049805628453296, 'stop_loss': 0.006855576878669993, 'take_profit': 0.010836062106990965, 'max_hold_minutes': 23, 'min_volume': 2875, 'trailing_stop': 0.0038840211287097864, 'max_trades_per_day': 3}",3.042768685001647e-05,0.3333333333333333,12,6.017230966330081e-06,4.011365250607022e-06
76,"{'vwap_dev_threshold': 0.004215051275097225, 'stop_loss': 0.008498026929570118, 'take_profit': 0.012713266095008393, 'max_hold_minutes': 24, 'min_volume': 3151, 'trailing_stop': 0.003189111293260399, 'max_trades_per_day': 3}",2.914044575521416e-05,0.25,12,1.4515273672991203e-05,7.257425345723057e-06
77,"{'vwap_dev_threshold': 0.004534464653151679, 'stop_loss': 0.006407819872917188, 'take_profit': 0.011762369240641715, 'max_hold_minutes': 22, 'min_volume': 2678, 'trailing_stop': 0.0033946824061263964, 'max_trades_per_day': 3}",2.914061459733752e-05,0.3333333333333333,12,1.8815881960202914e-05,1.25435557692256e-05
78,"{'vwap_dev_threshold': 0.004574423755572818, 'stop_loss': 0.008957204025459266, 'take_profit': 0.01028665887213842, 'max_hold_minutes': 20, 'min_volume': 2772, 'trailing_stop': 0.0036876277331010492, 'max_trades_per_day': 3}",2.9140614812770107e-05,0.3333333333333333,12,1.880848905932284e-05,1.2538627312258636e-05
79,"{'vwap_dev_threshold': 0.004384164173506457, 'stop_loss': 0.007685453272943485, 'take_profit': 0.014911451772610291, 'max_hold_minutes': 24, 'min_volume': 2961, 'trailing_stop': 0.003955735303140481, 'max_trades_per_day': 3}",2.9140444644615878e-05,0.4166666666666667,12,1.4553386168874848e-05,1.2127468397275669e-05
80,"{'vwap_dev_threshold': 0.004673282433347421, 'stop_loss': 0.00698802006784097, 'take_profit': 0.013240436706567237, 'max_hold_minutes': 18, 'min_volume': 2551, 'trailing_stop': 0.008175624368419234, 'max_trades_per_day': 3}",3.804038452325355e-05,0.4166666666666667,12,5.38521450976387e-06,4.487508045110982e-06
81,"{'vwap_dev_threshold': 0.004511823841040151, 'stop_loss': 0.007649764285073904, 'take_profit': 0.012386709242121515, 'max_hold_minutes': 22, 'min_volume': 3105, 'trailing_stop': 0.0043762475095571315, 'max_trades_per_day': 3}",2.9140444644615878e-05,0.4166666666666667,12,1.4553386168874848e-05,1.2127468397275669e-05
82,"{'vwap_dev_threshold': 0.004896864101816677, 'stop_loss': 0.006296145920340214, 'take_profit': 0.010078196454354137, 'max_hold_minutes': 19, 'min_volume': 2269, 'trailing_stop': 0.003797142454828581, 'max_trades_per_day': 3}",8.582866598997497e-05,0.25,12,-6.173964590263205e-05,-3.0867173435592766e-05
83,"{'vwap_dev_threshold': 0.004998150724736417, 'stop_loss': 0.007218980949295009, 'take_profit': 0.01177204147935707, 'max_hold_minutes': 18, 'min_volume': 2048, 'trailing_stop': 0.003500002703957261, 'max_trades_per_day': 3}",8.17809039801068e-05,0.25,12,-5.769164217079563e-05,-2.88434620480734e-05
84,"{'vwap_dev_threshold': 0.004674957461097321, 'stop_loss': 0.005488280964711954, 'take_profit': 0.01381431730068357, 'max_hold_minutes': 57, 'min_volume': 2834, 'trailing_stop': 0.004580435391381336, 'max_trades_per_day': 3}",2.9140518875552776e-05,0.3333333333333333,12,2.0702167678698193e-05,1.3801042937860123e-05
85,"{'vwap_dev_threshold': 0.004879508641683845, 'stop_loss': 0.008337462359910267, 'take_profit': 0.0111096941558919, 'max_hold_minutes': 24, 'min_volume': 2676, 'trailing_stop': 0.005470235073549341, 'max_trades_per_day': 3}",7.866227716926736e-05,0.3333333333333333,12,-4.815106718402742e-05,-3.2098186340956395e-05
86,"{'vwap_dev_threshold': 0.004041204395041383, 'stop_loss': 0.007752547034538907, 'take_profit': 0.010008622416552431, 'max_hold_minutes': 21, 'min_volume': 3307, 'trailing_stop': 0.003129640400445123, 'max_trades_per_day': 3}",2.914044575521416e-05,0.25,12,1.4515273672991203e-05,7.257425345723057e-06
87,"{'vwap_dev_threshold': 0.004276161710444859, 'stop_loss': 0.006551701192958599, 'take_profit': 0.012055184606379925, 'max_hold_minutes': 16, 'min_volume': 3494, 'trailing_stop': 0.0036632659069005583, 'max_trades_per_day': 3}",2.9140614812770107e-05,0.25,12,8.713728035451808e-06,4.356737056029771e-06
88,"{'vwap_dev_threshold': 0.004592942534880678, 'stop_loss': 0.010369343111129567, 'take_profit': 0.013329258352799906, 'max_hold_minutes': 27, 'min_volume': 2448, 'trailing_stop': 0.004051179732809334, 'max_trades_per_day': 3}",2.9140414077812988e-05,0.5,12,2.569704180829759e-05,2.5696292985858718e-05
89,"{'vwap_dev_threshold': 0.004595511408807856, 'stop_loss': 0.0105003449074163, 'take_profit': 0.014785693224226931, 'max_hold_minutes': 27, 'min_volume': 2717, 'trailing_stop': 0.004061628387505808, 'max_trades_per_day': 5}",0.00013293031611014158,0.35,20,-0.00011054326989216264,-7.737000273824642e-05
90,"{'vwap_dev_threshold': 0.0034820421107418396, 'stop_loss': 0.009242669817496134, 'take_profit': 0.011207703873812466, 'max_hold_minutes': 27, 'min_volume': 2538, 'trailing_stop': 0.003859256031138462, 'max_trades_per_day': 2}",5.599178193006082e-05,0.125,8,-5.599334952839093e-05,-1.399755359024365e-05
91,"{'vwap_dev_threshold': 0.00470456504798691, 'stop_loss': 0.01347573430240152, 'take_profit': 0.013859976188809102, 'max_hold_minutes': 24, 'min_volume': 2436, 'trailing_stop': 0.004514971612526018, 'max_trades_per_day': 3}",2.9140444644615878e-05,0.5,12,2.8643921829014394e-05,2.864308713239593e-05
92,"{'vwap_dev_threshold': 0.004382862518289753, 'stop_loss': 0.01345895709458986, 'take_profit': 0.013362884980840267, 'max_hold_minutes': 25, 'min_volume': 2908, 'trailing_stop': 0.003394426136587518, 'max_trades_per_day': 3}",2.914061459733752e-05,0.25,12,8.721121010961825e-06,4.360433436067794e-06
93,"{'vwap_dev_threshold': 0.00469646760218204, 'stop_loss': 0.013084630330254594, 'take_profit': 0.013911775044587153, 'max_hold_minutes': 23, 'min_volume': 2608, 'trailing_stop': 0.0043124442015656, 'max_trades_per_day': 3}",2.9140444644615878e-05,0.5,12,2.4648088243262227e-05,2.464736998701118e-05
94,"{'vwap_dev_threshold': 0.004465083151230976, 'stop_loss': 0.012166586042160456, 'take_profit': 0.01685810026973678, 'max_hold_minutes': 29, 'min_volume': 4577, 'trailing_stop': 0.004556148427736627, 'max_trades_per_day': 3}",2.9140414077812988e-05,0.4166666666666667,12,1.560235032283183e-05,1.3001579719902364e-05
95,"{'vwap_dev_threshold': 0.004906301083018846, 'stop_loss': 0.01479100193714282, 'take_profit': 0.011798179585187633, 'max_hold_minutes': 26, 'min_volume': 2420, 'trailing_stop': 0.004007107595648245, 'max_trades_per_day': 3}",8.342277477212665e-05,0.3333333333333333,12,-4.886725496483449e-05,-3.257545221521988e-05
96,"{'vwap_dev_threshold': 0.004552341415445371, 'stop_loss': 0.011174575880692731, 'take_profit': 0.015314345017401677, 'max_hold_minutes': 24, 'min_volume': 2064, 'trailing_stop': 0.0035762648480346685, 'max_trades_per_day': 3}",2.9140592776217694e-05,0.4166666666666667,12,1.9564707559691824e-05,1.6303447860430036e-05
97,"{'vwap_dev_threshold': 0.004329648019357879, 'stop_loss': 0.00810723082622446, 'take_profit': 0.010778140811579818, 'max_hold_minutes': 28, 'min_volume': 3034, 'trailing_stop': 0.0038214802659244595, 'max_trades_per_day': 3}",2.914023906721003e-05,0.4166666666666667,12,2.1608228570468095e-05,1.800633241793478e-05
98,"{'vwap_dev_threshold': 0.004754693998849322, 'stop_loss': 0.0071537334251105845, 'take_profit': 0.012704430121942466, 'max_hold_minutes': 51, 'min_volume': 2246, 'trailing_stop': 0.006876664803260176, 'max_trades_per_day': 3}",3.860307485010708e-05,0.3333333333333333,12,-3.667832696656249e-06,-2.4451274046907477e-06
99,"{'vwap_dev_threshold': 0.004611148244361081, 'stop_loss': 0.013613174634711329, 'take_profit': 0.024969922998182334, 'max_hold_minutes': 20, 'min_volume': 1731, 'trailing_stop': 0.004291031900937278, 'max_trades_per_day': 3}",2.9140466680944254e-05,0.4166666666666667,12,2.3891873587031448e-05,1.99093144722377e-05
